Wed Jun  2 11:05:12 EDT 1993
Astronomical silicate                   
Computed by B.T.Draine (cf Laor, A., & Draine, B.T. 1993, ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
5.957E-03 8.863E-02 1.130E-02  9.44E-01
5.623E-03 8.023E-02 1.039E-02  9.49E-01
5.309E-03 7.253E-02 9.495E-03  9.55E-01
5.012E-03 6.549E-02 8.654E-03  9.58E-01
4.732E-03 5.900E-02 7.863E-03  9.62E-01
4.467E-03 5.301E-02 7.113E-03  9.66E-01
4.217E-03 4.754E-02 6.416E-03  9.69E-01
3.981E-03 4.253E-02 5.768E-03  9.71E-01
3.758E-03 3.795E-02 5.164E-03  9.74E-01
3.548E-03 3.378E-02 4.601E-03  9.76E-01
3.350E-03 2.998E-02 4.083E-03  9.79E-01
3.162E-03 2.657E-02 3.606E-03  9.81E-01
2.985E-03 2.355E-02 3.177E-03  9.82E-01
2.818E-03 2.071E-02 2.751E-03  9.84E-01
2.661E-03 1.809E-02 2.347E-03  9.86E-01
2.512E-03 1.585E-02 1.909E-03  9.87E-01
2.371E-03 1.388E-02 1.125E-03  9.88E-01
2.239E-03 3.260E-02 1.608E-03  9.89E-01
2.113E-03 2.914E-02 1.645E-03  9.90E-01
1.995E-03 2.586E-02 1.573E-03  9.91E-01
1.884E-03 2.282E-02 1.410E-03  9.92E-01
1.778E-03 2.004E-02 1.204E-03  9.93E-01
1.679E-03 1.752E-02 7.454E-04  9.93E-01
1.585E-03 2.791E-02 1.163E-03  9.94E-01
1.496E-03 2.445E-02 1.085E-03  9.95E-01
1.413E-03 2.375E-02 1.107E-03  9.95E-01
1.334E-03 2.083E-02 1.045E-03  9.96E-01
1.259E-03 1.822E-02 9.610E-04  9.96E-01
1.189E-03 1.590E-02 8.771E-04  9.96E-01
1.122E-03 1.376E-02 7.920E-04  9.97E-01
1.059E-03 1.189E-02 7.081E-04  9.97E-01
1.000E-03 1.023E-02 6.196E-04  9.97E-01

1.000E-02 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.371E-06 2.530E-17  0.00E+00
9.441E+02 1.538E-06 3.185E-17  0.00E+00
8.913E+02 1.726E-06 4.010E-17  0.00E+00
8.414E+02 1.936E-06 5.048E-17  0.00E+00
7.943E+02 2.173E-06 6.355E-17  0.00E+00
7.499E+02 2.438E-06 8.000E-17  0.00E+00
7.079E+02 2.736E-06 1.007E-16  0.00E+00
6.683E+02 3.070E-06 1.268E-16  0.00E+00
6.310E+02 3.445E-06 1.596E-16  0.00E+00
5.957E+02 3.866E-06 2.010E-16  0.00E+00
5.623E+02 4.338E-06 2.530E-16  0.00E+00
5.309E+02 4.869E-06 3.186E-16  0.00E+00
5.012E+02 5.464E-06 4.011E-16  0.00E+00
4.732E+02 6.132E-06 5.049E-16  0.00E+00
4.467E+02 6.883E-06 6.357E-16  0.00E+00
4.217E+02 7.726E-06 8.003E-16  0.00E+00
3.981E+02 8.671E-06 1.008E-15  0.00E+00
3.758E+02 9.732E-06 1.269E-15  0.00E+00
3.548E+02 1.092E-05 1.597E-15  0.00E+00
3.350E+02 1.226E-05 2.011E-15  0.00E+00
3.162E+02 1.377E-05 2.532E-15  0.00E+00
2.985E+02 1.546E-05 3.187E-15  0.00E+00
2.818E+02 1.736E-05 4.013E-15  0.00E+00
2.661E+02 1.949E-05 5.054E-15  0.00E+00
2.512E+02 2.189E-05 6.363E-15  0.00E+00
2.371E+02 2.459E-05 8.012E-15  0.00E+00
2.239E+02 2.763E-05 1.009E-14  0.00E+00
2.113E+02 3.104E-05 1.270E-14  0.00E+00
1.995E+02 3.489E-05 1.599E-14  0.00E+00
1.884E+02 3.920E-05 2.014E-14  0.00E+00
1.778E+02 4.405E-05 2.536E-14  0.00E+00
1.679E+02 4.952E-05 3.194E-14  0.00E+00
1.585E+02 5.569E-05 4.022E-14  0.00E+00
1.496E+02 6.264E-05 5.065E-14  0.00E+00
1.413E+02 7.048E-05 6.379E-14  0.00E+00
1.334E+02 7.932E-05 8.034E-14  0.00E+00
1.259E+02 8.930E-05 1.012E-13  0.00E+00
1.189E+02 1.006E-04 1.275E-13  0.00E+00
1.122E+02 1.132E-04 1.606E-13  0.00E+00
1.059E+02 1.277E-04 2.022E-13  0.00E+00
1.000E+02 1.439E-04 2.547E-13  0.00E+00
9.441E+01 1.624E-04 3.208E-13  0.00E+00
8.913E+01 1.833E-04 4.041E-13  0.00E+00
8.414E+01 2.070E-04 5.090E-13  0.00E+00
7.943E+01 2.339E-04 6.411E-13  0.00E+00
7.499E+01 2.642E-04 8.076E-13  0.00E+00
7.079E+01 2.988E-04 1.017E-12  0.00E+00
6.683E+01 3.381E-04 1.280E-12  0.00E+00
6.310E+01 3.824E-04 1.611E-12  0.00E+00
5.957E+01 4.326E-04 2.027E-12  4.69E-07
5.623E+01 4.894E-04 2.550E-12  5.14E-07
5.309E+01 5.533E-04 3.205E-12  5.62E-07
5.012E+01 6.250E-04 4.028E-12  6.12E-07
4.732E+01 7.058E-04 5.057E-12  6.66E-07
4.467E+01 7.966E-04 6.347E-12  7.23E-07
4.217E+01 8.986E-04 7.960E-12  7.83E-07
3.981E+01 1.011E-03 9.958E-12  8.47E-07
3.758E+01 1.136E-03 1.245E-11  9.15E-07
3.548E+01 1.269E-03 1.561E-11  9.93E-07
3.350E+01 1.421E-03 1.957E-11  1.07E-06
3.162E+01 1.600E-03 2.451E-11  1.16E-06
2.985E+01 1.807E-03 3.066E-11  1.24E-06
2.818E+01 2.037E-03 3.821E-11  1.33E-06
2.661E+01 2.303E-03 4.762E-11  1.42E-06
2.512E+01 2.610E-03 5.942E-11  1.52E-06
2.371E+01 2.951E-03 7.342E-11  1.62E-06
2.239E+01 3.350E-03 9.076E-11  1.73E-06
2.113E+01 3.812E-03 1.106E-10  1.84E-06
1.995E+01 4.363E-03 1.333E-10  1.95E-06
1.884E+01 4.851E-03 1.490E-10  2.10E-06
1.778E+01 4.871E-03 1.531E-10  2.37E-06
1.679E+01 4.433E-03 1.548E-10  2.76E-06
1.585E+01 3.790E-03 1.686E-10  3.26E-06
1.496E+01 3.215E-03 2.093E-10  3.89E-06
1.413E+01 2.895E-03 3.004E-10  4.72E-06
1.334E+01 3.459E-03 4.630E-10  5.52E-06
1.259E+01 4.568E-03 6.672E-10  5.98E-06
1.189E+01 6.069E-03 9.205E-10  6.10E-06
1.122E+01 7.890E-03 1.219E-09  6.07E-06
1.059E+01 1.042E-02 1.609E-09  5.90E-06
1.000E+01 1.265E-02 1.795E-09  6.05E-06
9.441E+00 1.412E-02 1.808E-09  6.45E-06
8.913E+00 1.051E-02 9.648E-10  7.58E-06
8.414E+00 6.787E-03 4.831E-10  9.01E-06
7.943E+00 3.151E-03 2.393E-10  1.06E-05
7.499E+00 1.399E-03 5.113E-10  1.27E-05
7.079E+00 1.100E-03 1.021E-09  1.49E-05
6.683E+00 1.089E-03 1.612E-09  1.72E-05
6.310E+00 1.082E-03 2.321E-09  1.97E-05
5.957E+00 1.057E-03 3.211E-09  2.24E-05
5.623E+00 1.040E-03 4.342E-09  2.54E-05
5.309E+00 1.039E-03 5.782E-09  2.88E-05
5.012E+00 1.052E-03 7.617E-09  3.26E-05
4.732E+00 1.078E-03 9.937E-09  3.68E-05
4.467E+00 1.112E-03 1.288E-08  4.15E-05
4.217E+00 1.154E-03 1.659E-08  4.68E-05
3.981E+00 1.196E-03 2.128E-08  5.27E-05
3.758E+00 1.237E-03 2.721E-08  5.93E-05
3.548E+00 1.282E-03 3.469E-08  6.67E-05
3.350E+00 1.328E-03 4.412E-08  7.50E-05
3.162E+00 1.369E-03 5.603E-08  8.44E-05
2.985E+00 1.415E-03 7.108E-08  9.48E-05
2.818E+00 1.466E-03 9.011E-08  1.07E-04
2.661E+00 1.522E-03 1.141E-07  1.20E-04
2.512E+00 1.582E-03 1.443E-07  1.34E-04
2.371E+00 1.647E-03 1.824E-07  1.51E-04
2.239E+00 1.716E-03 2.305E-07  1.69E-04
2.113E+00 1.790E-03 2.908E-07  1.90E-04
1.995E+00 1.869E-03 3.670E-07  2.14E-04
1.884E+00 1.953E-03 4.629E-07  2.40E-04
1.778E+00 2.043E-03 5.838E-07  2.69E-04
1.679E+00 2.142E-03 7.359E-07  3.02E-04
1.585E+00 2.252E-03 9.269E-07  3.39E-04
1.496E+00 2.366E-03 1.168E-06  3.80E-04
1.413E+00 2.485E-03 1.471E-06  4.27E-04
1.334E+00 2.611E-03 1.852E-06  4.79E-04
1.259E+00 2.745E-03 2.332E-06  5.37E-04
1.189E+00 2.895E-03 2.937E-06  6.03E-04
1.122E+00 3.055E-03 3.700E-06  6.77E-04
1.059E+00 3.224E-03 4.658E-06  7.59E-04
1.000E+00 3.404E-03 5.864E-06  8.52E-04
9.441E-01 3.597E-03 7.382E-06  9.55E-04
8.913E-01 3.800E-03 9.294E-06  1.07E-03
8.414E-01 4.014E-03 1.171E-05  1.20E-03
7.943E-01 4.239E-03 1.475E-05  1.35E-03
7.499E-01 4.476E-03 1.859E-05  1.51E-03
7.079E-01 4.726E-03 2.343E-05  1.70E-03
6.683E-01 4.992E-03 2.953E-05  1.91E-03
6.310E-01 5.275E-03 3.725E-05  2.14E-03
5.957E-01 5.575E-03 4.701E-05  2.40E-03
5.623E-01 5.893E-03 5.936E-05  2.70E-03
5.309E-01 6.229E-03 7.499E-05  3.03E-03
5.012E-01 6.585E-03 9.480E-05  3.40E-03
4.732E-01 6.961E-03 1.199E-04  3.82E-03
4.467E-01 7.357E-03 1.519E-04  4.29E-03
4.217E-01 7.774E-03 1.926E-04  4.82E-03
3.981E-01 8.211E-03 2.445E-04  5.41E-03
3.758E-01 8.656E-03 3.109E-04  6.08E-03
3.548E-01 9.124E-03 3.960E-04  6.84E-03
3.350E-01 9.610E-03 5.056E-04  7.69E-03
3.162E-01 1.011E-02 6.468E-04  8.66E-03
2.985E-01 1.062E-02 8.305E-04  9.75E-03
2.818E-01 1.114E-02 1.070E-03  1.10E-02
2.661E-01 1.165E-02 1.385E-03  1.24E-02
2.512E-01 1.213E-02 1.803E-03  1.40E-02
2.371E-01 1.202E-02 2.369E-03  1.59E-02
2.239E-01 1.329E-02 3.167E-03  1.81E-02
2.113E-01 1.933E-02 4.266E-03  2.07E-02
1.995E-01 2.776E-02 5.766E-03  2.36E-02
1.884E-01 4.168E-02 7.916E-03  2.72E-02
1.778E-01 6.566E-02 1.094E-02  3.13E-02
1.679E-01 9.785E-02 1.526E-02  3.63E-02
1.585E-01 1.458E-01 2.223E-02  4.26E-02
1.496E-01 3.048E-01 3.462E-02  4.82E-02
1.413E-01 5.224E-01 3.794E-02  4.31E-02
1.334E-01 5.046E-01 4.451E-02  4.96E-02
1.259E-01 5.660E-01 5.629E-02  5.48E-02
1.189E-01 7.124E-01 7.628E-02  5.85E-02
1.122E-01 8.252E-01 9.549E-02  6.30E-02
1.059E-01 1.012E+00 1.349E-01  6.68E-02
1.000E-01 1.226E+00 1.690E-01  6.83E-02
9.441E-02 1.373E+00 2.007E-01  7.33E-02
8.913E-02 1.427E+00 2.102E-01  8.14E-02
8.414E-02 1.492E+00 2.543E-01  9.22E-02
7.943E-02 1.598E+00 3.091E-01  1.02E-01
7.499E-02 1.632E+00 3.501E-01  1.14E-01
7.079E-02 1.562E+00 3.640E-01  1.32E-01
6.683E-02 1.411E+00 3.599E-01  1.52E-01
6.310E-02 1.134E+00 3.157E-01  1.74E-01
5.957E-02 7.869E-01 2.089E-01  1.93E-01
5.623E-02 6.966E-01 1.414E-01  2.19E-01
5.309E-02 6.695E-01 1.259E-01  2.48E-01
5.012E-02 6.482E-01 1.180E-01  2.80E-01
4.732E-02 6.292E-01 1.136E-01  3.14E-01
4.467E-02 6.113E-01 1.110E-01  3.52E-01
4.217E-02 5.934E-01 1.090E-01  3.91E-01
3.981E-02 5.754E-01 1.073E-01  4.33E-01
3.758E-02 5.567E-01 1.055E-01  4.75E-01
3.548E-02 5.375E-01 1.035E-01  5.18E-01
3.350E-02 5.177E-01 1.012E-01  5.62E-01
3.162E-02 4.970E-01 9.843E-02  6.03E-01
2.985E-02 4.759E-01 9.540E-02  6.43E-01
2.818E-02 4.539E-01 9.189E-02  6.81E-01
2.661E-02 4.320E-01 8.802E-02  7.14E-01
2.512E-02 4.094E-01 8.357E-02  7.43E-01
2.371E-02 3.869E-01 7.816E-02  7.68E-01
2.239E-02 3.765E-01 7.465E-02  7.87E-01
2.113E-02 3.599E-01 7.134E-02  8.03E-01
1.995E-02 3.443E-01 6.629E-02  8.16E-01
1.884E-02 3.552E-01 6.601E-02  8.29E-01
1.778E-02 3.374E-01 6.624E-02  8.43E-01
1.679E-02 3.216E-01 6.391E-02  8.57E-01
1.585E-02 3.068E-01 6.088E-02  8.72E-01
1.496E-02 2.922E-01 5.761E-02  8.86E-01
1.413E-02 2.774E-01 5.376E-02  8.96E-01
1.334E-02 2.744E-01 4.980E-02  9.04E-01
1.259E-02 2.687E-01 4.944E-02  9.11E-01
1.189E-02 2.527E-01 4.762E-02  9.19E-01
1.122E-02 2.368E-01 4.197E-02  9.27E-01
1.059E-02 2.805E-01 4.006E-02  9.35E-01
1.000E-02 2.625E-01 4.631E-02  9.40E-01
9.441E-03 2.448E-01 4.603E-02  9.44E-01
8.913E-03 2.276E-01 4.415E-02  9.50E-01
8.414E-03 2.107E-01 4.165E-02  9.55E-01
7.943E-03 1.943E-01 3.877E-02  9.59E-01
7.499E-03 1.788E-01 3.489E-02  9.62E-01
7.079E-03 1.778E-01 3.467E-02  9.66E-01
6.683E-03 1.630E-01 3.280E-02  9.69E-01
6.310E-03 1.490E-01 3.058E-02  9.71E-01
5.957E-03 1.360E-01 2.831E-02  9.74E-01
5.623E-03 1.235E-01 2.604E-02  9.77E-01
5.309E-03 1.120E-01 2.383E-02  9.79E-01
5.012E-03 1.014E-01 2.172E-02  9.81E-01
4.732E-03 9.156E-02 1.974E-02  9.82E-01
4.467E-03 8.245E-02 1.787E-02  9.84E-01
4.217E-03 7.409E-02 1.612E-02  9.86E-01
3.981E-03 6.640E-02 1.449E-02  9.87E-01
3.758E-03 5.935E-02 1.298E-02  9.88E-01
3.548E-03 5.291E-02 1.157E-02  9.89E-01
3.350E-03 4.703E-02 1.027E-02  9.90E-01
3.162E-03 4.173E-02 9.071E-03  9.91E-01
2.985E-03 3.702E-02 7.991E-03  9.92E-01
2.818E-03 3.258E-02 6.922E-03  9.93E-01
2.661E-03 2.849E-02 5.905E-03  9.93E-01
2.512E-03 2.499E-02 4.804E-03  9.94E-01
2.371E-03 2.189E-02 2.833E-03  9.95E-01
2.239E-03 5.110E-02 4.016E-03  9.95E-01
2.113E-03 4.574E-02 4.113E-03  9.96E-01
1.995E-03 4.063E-02 3.934E-03  9.96E-01
1.884E-03 3.589E-02 3.529E-03  9.96E-01
1.778E-03 3.155E-02 3.015E-03  9.97E-01
1.679E-03 2.761E-02 1.868E-03  9.97E-01
1.585E-03 4.383E-02 2.903E-03  9.97E-01
1.496E-03 3.844E-02 2.709E-03  9.98E-01
1.413E-03 3.734E-02 2.766E-03  9.98E-01
1.334E-03 3.279E-02 2.612E-03  9.98E-01
1.259E-03 2.871E-02 2.404E-03  9.98E-01
1.189E-03 2.506E-02 2.195E-03  9.98E-01
1.122E-03 2.171E-02 1.983E-03  9.99E-01
1.059E-03 1.877E-02 1.774E-03  9.99E-01
1.000E-03 1.615E-02 1.553E-03  9.99E-01

1.585E-02 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 2.172E-06 1.596E-16  0.00E+00
9.441E+02 2.437E-06 2.010E-16  0.00E+00
8.913E+02 2.735E-06 2.530E-16  0.00E+00
8.414E+02 3.069E-06 3.185E-16  0.00E+00
7.943E+02 3.444E-06 4.010E-16  0.00E+00
7.499E+02 3.865E-06 5.048E-16  0.00E+00
7.079E+02 4.337E-06 6.355E-16  0.00E+00
6.683E+02 4.866E-06 8.001E-16  0.00E+00
6.310E+02 5.461E-06 1.007E-15  0.00E+00
5.957E+02 6.127E-06 1.268E-15  0.00E+00
5.623E+02 6.876E-06 1.597E-15  0.00E+00
5.309E+02 7.716E-06 2.010E-15  0.00E+00
5.012E+02 8.659E-06 2.531E-15  0.00E+00
4.732E+02 9.719E-06 3.186E-15  0.00E+00
4.467E+02 1.091E-05 4.011E-15  0.00E+00
4.217E+02 1.224E-05 5.049E-15  0.00E+00
3.981E+02 1.374E-05 6.357E-15  0.00E+00
3.758E+02 1.542E-05 8.004E-15  0.00E+00
3.548E+02 1.731E-05 1.008E-14  0.00E+00
3.350E+02 1.944E-05 1.269E-14  0.00E+00
3.162E+02 2.183E-05 1.597E-14  0.00E+00
2.985E+02 2.451E-05 2.011E-14  0.00E+00
2.818E+02 2.752E-05 2.532E-14  0.00E+00
2.661E+02 3.090E-05 3.189E-14  0.00E+00
2.512E+02 3.469E-05 4.015E-14  0.00E+00
2.371E+02 3.897E-05 5.055E-14  0.00E+00
2.239E+02 4.379E-05 6.365E-14  0.00E+00
2.113E+02 4.920E-05 8.014E-14  0.00E+00
1.995E+02 5.529E-05 1.009E-13  0.00E+00
1.884E+02 6.213E-05 1.271E-13  0.00E+00
1.778E+02 6.981E-05 1.600E-13  0.00E+00
1.679E+02 7.848E-05 2.015E-13  0.00E+00
1.585E+02 8.826E-05 2.538E-13  0.00E+00
1.496E+02 9.928E-05 3.196E-13  0.00E+00
1.413E+02 1.117E-04 4.025E-13  0.00E+00
1.334E+02 1.257E-04 5.069E-13  0.00E+00
1.259E+02 1.415E-04 6.384E-13  0.00E+00
1.189E+02 1.594E-04 8.042E-13  0.00E+00
1.122E+02 1.795E-04 1.013E-12  0.00E+00
1.059E+02 2.023E-04 1.276E-12  0.00E+00
1.000E+02 2.281E-04 1.607E-12  0.00E+00
9.441E+01 2.574E-04 2.024E-12  5.29E-07
8.913E+01 2.905E-04 2.550E-12  5.88E-07
8.414E+01 3.281E-04 3.212E-12  6.53E-07
7.943E+01 3.707E-04 4.045E-12  7.24E-07
7.499E+01 4.187E-04 5.095E-12  8.02E-07
7.079E+01 4.735E-04 6.416E-12  8.86E-07
6.683E+01 5.358E-04 8.077E-12  9.76E-07
6.310E+01 6.061E-04 1.017E-11  1.07E-06
5.957E+01 6.856E-04 1.279E-11  1.18E-06
5.623E+01 7.756E-04 1.609E-11  1.29E-06
5.309E+01 8.770E-04 2.022E-11  1.41E-06
5.012E+01 9.906E-04 2.541E-11  1.54E-06
4.732E+01 1.119E-03 3.191E-11  1.67E-06
4.467E+01 1.263E-03 4.004E-11  1.82E-06
4.217E+01 1.424E-03 5.022E-11  1.97E-06
3.981E+01 1.603E-03 6.283E-11  2.13E-06
3.758E+01 1.800E-03 7.856E-11  2.30E-06
3.548E+01 2.011E-03 9.849E-11  2.49E-06
3.350E+01 2.251E-03 1.235E-10  2.70E-06
3.162E+01 2.536E-03 1.547E-10  2.90E-06
2.985E+01 2.864E-03 1.935E-10  3.12E-06
2.818E+01 3.229E-03 2.411E-10  3.34E-06
2.661E+01 3.650E-03 3.005E-10  3.58E-06
2.512E+01 4.137E-03 3.749E-10  3.82E-06
2.371E+01 4.677E-03 4.633E-10  4.08E-06
2.239E+01 5.309E-03 5.727E-10  4.35E-06
2.113E+01 6.042E-03 6.980E-10  4.63E-06
1.995E+01 6.915E-03 8.413E-10  4.91E-06
1.884E+01 7.688E-03 9.404E-10  5.28E-06
1.778E+01 7.720E-03 9.660E-10  5.95E-06
1.679E+01 7.025E-03 9.770E-10  6.92E-06
1.585E+01 6.008E-03 1.064E-09  8.18E-06
1.496E+01 5.095E-03 1.321E-09  9.76E-06
1.413E+01 4.588E-03 1.895E-09  1.19E-05
1.334E+01 5.482E-03 2.922E-09  1.39E-05
1.259E+01 7.239E-03 4.210E-09  1.50E-05
1.189E+01 9.620E-03 5.808E-09  1.53E-05
1.122E+01 1.251E-02 7.693E-09  1.52E-05
1.059E+01 1.651E-02 1.015E-08  1.48E-05
1.000E+01 2.005E-02 1.133E-08  1.52E-05
9.441E+00 2.238E-02 1.141E-08  1.62E-05
8.913E+00 1.665E-02 6.088E-09  1.91E-05
8.414E+00 1.076E-02 3.048E-09  2.26E-05
7.943E+00 4.994E-03 1.510E-09  2.67E-05
7.499E+00 2.217E-03 3.226E-09  3.20E-05
7.079E+00 1.744E-03 6.444E-09  3.75E-05
6.683E+00 1.726E-03 1.017E-08  4.33E-05
6.310E+00 1.715E-03 1.465E-08  4.95E-05
5.957E+00 1.676E-03 2.026E-08  5.63E-05
5.623E+00 1.648E-03 2.739E-08  6.39E-05
5.309E+00 1.646E-03 3.648E-08  7.24E-05
5.012E+00 1.667E-03 4.806E-08  8.19E-05
4.732E+00 1.709E-03 6.270E-08  9.25E-05
4.467E+00 1.763E-03 8.127E-08  1.04E-04
4.217E+00 1.829E-03 1.047E-07  1.18E-04
3.981E+00 1.895E-03 1.343E-07  1.32E-04
3.758E+00 1.962E-03 1.717E-07  1.49E-04
3.548E+00 2.033E-03 2.189E-07  1.68E-04
3.350E+00 2.105E-03 2.784E-07  1.89E-04
3.162E+00 2.171E-03 3.536E-07  2.12E-04
2.985E+00 2.244E-03 4.486E-07  2.38E-04
2.818E+00 2.325E-03 5.686E-07  2.68E-04
2.661E+00 2.413E-03 7.201E-07  3.01E-04
2.512E+00 2.508E-03 9.108E-07  3.38E-04
2.371E+00 2.612E-03 1.151E-06  3.79E-04
2.239E+00 2.722E-03 1.454E-06  4.26E-04
2.113E+00 2.839E-03 1.835E-06  4.78E-04
1.995E+00 2.965E-03 2.316E-06  5.36E-04
1.884E+00 3.099E-03 2.922E-06  6.02E-04
1.778E+00 3.242E-03 3.685E-06  6.76E-04
1.679E+00 3.401E-03 4.645E-06  7.59E-04
1.585E+00 3.575E-03 5.851E-06  8.51E-04
1.496E+00 3.757E-03 7.371E-06  9.55E-04
1.413E+00 3.948E-03 9.284E-06  1.07E-03
1.334E+00 4.149E-03 1.169E-05  1.20E-03
1.259E+00 4.363E-03 1.472E-05  1.35E-03
1.189E+00 4.603E-03 1.855E-05  1.51E-03
1.122E+00 4.858E-03 2.337E-05  1.70E-03
1.059E+00 5.130E-03 2.942E-05  1.91E-03
1.000E+00 5.419E-03 3.705E-05  2.14E-03
9.441E-01 5.728E-03 4.664E-05  2.40E-03
8.913E-01 6.056E-03 5.873E-05  2.69E-03
8.414E-01 6.401E-03 7.398E-05  3.02E-03
7.943E-01 6.765E-03 9.323E-05  3.39E-03
7.499E-01 7.150E-03 1.175E-04  3.80E-03
7.079E-01 7.557E-03 1.482E-04  4.26E-03
6.683E-01 7.989E-03 1.868E-04  4.78E-03
6.310E-01 8.452E-03 2.357E-04  5.37E-03
5.957E-01 8.946E-03 2.976E-04  6.03E-03
5.623E-01 9.469E-03 3.759E-04  6.76E-03
5.309E-01 1.003E-02 4.751E-04  7.59E-03
5.012E-01 1.062E-02 6.009E-04  8.52E-03
4.732E-01 1.125E-02 7.606E-04  9.56E-03
4.467E-01 1.192E-02 9.639E-04  1.07E-02
4.217E-01 1.263E-02 1.223E-03  1.21E-02
3.981E-01 1.338E-02 1.554E-03  1.35E-02
3.758E-01 1.415E-02 1.978E-03  1.52E-02
3.548E-01 1.497E-02 2.523E-03  1.71E-02
3.350E-01 1.584E-02 3.224E-03  1.92E-02
3.162E-01 1.675E-02 4.131E-03  2.16E-02
2.985E-01 1.769E-02 5.313E-03  2.44E-02
2.818E-01 1.867E-02 6.858E-03  2.75E-02
2.661E-01 1.967E-02 8.900E-03  3.10E-02
2.512E-01 2.068E-02 1.162E-02  3.50E-02
2.371E-01 2.070E-02 1.532E-02  3.96E-02
2.239E-01 2.318E-02 2.057E-02  4.51E-02
2.113E-01 3.420E-02 2.786E-02  5.15E-02
1.995E-01 4.997E-02 3.788E-02  5.90E-02
1.884E-01 7.659E-02 5.236E-02  6.80E-02
1.778E-01 1.236E-01 7.286E-02  7.87E-02
1.679E-01 1.895E-01 1.024E-01  9.17E-02
1.585E-01 2.943E-01 1.504E-01  1.09E-01
1.496E-01 6.313E-01 2.317E-01  1.24E-01
1.413E-01 9.572E-01 2.320E-01  1.11E-01
1.334E-01 9.376E-01 2.693E-01  1.29E-01
1.259E-01 1.039E+00 3.285E-01  1.44E-01
1.189E-01 1.245E+00 4.140E-01  1.55E-01
1.122E-01 1.364E+00 4.777E-01  1.70E-01
1.059E-01 1.539E+00 5.996E-01  1.84E-01
1.000E-01 1.633E+00 6.408E-01  1.95E-01
9.441E-02 1.655E+00 6.609E-01  2.17E-01
8.913E-02 1.613E+00 6.221E-01  2.46E-01
8.414E-02 1.615E+00 6.763E-01  2.82E-01
7.943E-02 1.619E+00 7.188E-01  3.17E-01
7.499E-02 1.589E+00 7.349E-01  3.55E-01
7.079E-02 1.513E+00 7.268E-01  3.93E-01
6.683E-02 1.382E+00 7.101E-01  4.24E-01
6.310E-02 1.153E+00 6.524E-01  4.44E-01
5.957E-02 8.750E-01 4.855E-01  4.64E-01
5.623E-02 8.214E-01 3.427E-01  5.13E-01
5.309E-02 8.062E-01 3.027E-01  5.58E-01
5.012E-02 7.918E-01 2.799E-01  6.01E-01
4.732E-02 7.767E-01 2.660E-01  6.40E-01
4.467E-02 7.607E-01 2.569E-01  6.75E-01
4.217E-02 7.436E-01 2.502E-01  7.07E-01
3.981E-02 7.252E-01 2.449E-01  7.35E-01
3.758E-02 7.054E-01 2.402E-01  7.60E-01
3.548E-02 6.845E-01 2.357E-01  7.81E-01
3.350E-02 6.627E-01 2.310E-01  7.99E-01
3.162E-02 6.397E-01 2.258E-01  8.15E-01
2.985E-02 6.163E-01 2.201E-01  8.29E-01
2.818E-02 5.919E-01 2.135E-01  8.43E-01
2.661E-02 5.680E-01 2.059E-01  8.56E-01
2.512E-02 5.435E-01 1.967E-01  8.70E-01
2.371E-02 5.190E-01 1.850E-01  8.83E-01
2.239E-02 5.084E-01 1.764E-01  8.95E-01
2.113E-02 4.900E-01 1.687E-01  9.03E-01
1.995E-02 4.726E-01 1.568E-01  9.11E-01
1.884E-02 4.866E-01 1.543E-01  9.18E-01
1.778E-02 4.657E-01 1.549E-01  9.26E-01
1.679E-02 4.471E-01 1.496E-01  9.34E-01
1.585E-02 4.294E-01 1.429E-01  9.39E-01
1.496E-02 4.116E-01 1.357E-01  9.44E-01
1.413E-02 3.936E-01 1.270E-01  9.49E-01
1.334E-02 3.905E-01 1.173E-01  9.55E-01
1.259E-02 3.836E-01 1.162E-01  9.58E-01
1.189E-02 3.631E-01 1.123E-01  9.62E-01
1.122E-02 3.428E-01 9.945E-02  9.66E-01
1.059E-02 3.999E-01 9.303E-02  9.69E-01
1.000E-02 3.766E-01 1.078E-01  9.71E-01
9.441E-03 3.538E-01 1.076E-01  9.74E-01
8.913E-03 3.312E-01 1.037E-01  9.76E-01
8.414E-03 3.087E-01 9.836E-02  9.79E-01
7.943E-03 2.867E-01 9.200E-02  9.81E-01
7.499E-03 2.654E-01 8.320E-02  9.82E-01
7.079E-03 2.641E-01 8.257E-02  9.84E-01
6.683E-03 2.435E-01 7.848E-02  9.86E-01
6.310E-03 2.238E-01 7.347E-02  9.87E-01
5.957E-03 2.053E-01 6.831E-02  9.88E-01
5.623E-03 1.873E-01 6.308E-02  9.89E-01
5.309E-03 1.706E-01 5.792E-02  9.90E-01
5.012E-03 1.551E-01 5.297E-02  9.91E-01
4.732E-03 1.405E-01 4.829E-02  9.92E-01
4.467E-03 1.270E-01 4.383E-02  9.93E-01
