Wed Jun  2 11:05:12 EDT 1993
Astronomical silicate                   
Computed by B.T.Draine (cf Laor, A., & Draine, B.T. 1993, ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
2.239E+00 1.715E-04 2.304E-11  1.70E-06
2.113E+00 1.789E-04 2.908E-11  1.90E-06
1.995E+00 1.868E-04 3.669E-11  2.14E-06
1.884E+00 1.951E-04 4.628E-11  2.40E-06
1.778E+00 2.041E-04 5.837E-11  2.69E-06
1.679E+00 2.140E-04 7.357E-11  3.02E-06
1.585E+00 2.249E-04 9.266E-11  3.39E-06
1.496E+00 2.363E-04 1.167E-10  3.80E-06
1.413E+00 2.482E-04 1.470E-10  4.27E-06
1.334E+00 2.607E-04 1.851E-10  4.79E-06
1.259E+00 2.740E-04 2.331E-10  5.37E-06
1.189E+00 2.889E-04 2.936E-10  6.03E-06
1.122E+00 3.048E-04 3.697E-10  6.77E-06
1.059E+00 3.216E-04 4.655E-10  7.59E-06
1.000E+00 3.394E-04 5.860E-10  8.52E-06
9.441E-01 3.585E-04 7.376E-10  9.56E-06
8.913E-01 3.786E-04 9.285E-10  1.07E-05
8.414E-01 3.997E-04 1.169E-09  1.20E-05
7.943E-01 4.220E-04 1.473E-09  1.35E-05
7.499E-01 4.453E-04 1.856E-09  1.52E-05
7.079E-01 4.699E-04 2.339E-09  1.70E-05
6.683E-01 4.960E-04 2.948E-09  1.91E-05
6.310E-01 5.237E-04 3.717E-09  2.14E-05
5.957E-01 5.530E-04 4.691E-09  2.41E-05
5.623E-01 5.839E-04 5.921E-09  2.70E-05
5.309E-01 6.165E-04 7.478E-09  3.03E-05
5.012E-01 6.509E-04 9.450E-09  3.40E-05
4.732E-01 6.871E-04 1.195E-08  3.82E-05
4.467E-01 7.250E-04 1.513E-08  4.30E-05
4.217E-01 7.647E-04 1.918E-08  4.83E-05
3.981E-01 8.060E-04 2.432E-08  5.42E-05
3.758E-01 8.477E-04 3.091E-08  6.10E-05
3.548E-01 8.912E-04 3.934E-08  6.86E-05
3.350E-01 9.357E-04 5.018E-08  7.72E-05
3.162E-01 9.811E-04 6.413E-08  8.69E-05
2.985E-01 1.026E-03 8.223E-08  9.80E-05
2.818E-01 1.071E-03 1.058E-07  1.10E-04
2.661E-01 1.114E-03 1.367E-07  1.25E-04
2.512E-01 1.154E-03 1.776E-07  1.41E-04
2.371E-01 1.135E-03 2.327E-07  1.60E-04
2.239E-01 1.243E-03 3.099E-07  1.82E-04
2.113E-01 1.788E-03 4.157E-07  2.08E-04
1.995E-01 2.535E-03 5.589E-07  2.38E-04
1.884E-01 3.745E-03 7.624E-07  2.74E-04
1.778E-01 5.788E-03 1.046E-06  3.16E-04
1.679E-01 8.429E-03 1.446E-06  3.65E-04
1.585E-01 1.216E-02 2.080E-06  4.29E-04
1.496E-01 2.451E-02 3.201E-06  4.86E-04
1.413E-01 4.420E-02 3.614E-06  4.38E-04
1.334E-01 4.196E-02 4.229E-06  5.02E-04
1.259E-01 4.650E-02 5.355E-06  5.55E-04
1.189E-01 5.832E-02 7.320E-06  5.92E-04
1.122E-01 6.792E-02 9.320E-06  6.35E-04
1.059E-01 8.348E-02 1.340E-05  6.71E-04
1.000E-01 1.075E-01 1.792E-05  6.71E-04
9.441E-02 1.287E-01 2.301E-05  6.97E-04
8.913E-02 1.456E-01 2.666E-05  7.48E-04
8.414E-02 1.575E-01 3.431E-05  8.30E-04
7.943E-02 1.884E-01 4.784E-05  8.71E-04
7.499E-02 2.251E-01 6.555E-05  9.15E-04
7.079E-02 2.490E-01 8.229E-05  9.99E-04
6.683E-02 2.543E-01 9.678E-05  1.12E-03
6.310E-02 2.144E-01 9.323E-05  1.29E-03
5.957E-02 1.335E-01 5.687E-05  1.53E-03
5.623E-02 1.066E-01 3.620E-05  1.80E-03
5.309E-02 9.975E-02 3.320E-05  2.06E-03
5.012E-02 9.525E-02 3.263E-05  2.34E-03
4.732E-02 9.179E-02 3.337E-05  2.65E-03
4.467E-02 8.882E-02 3.488E-05  2.99E-03
4.217E-02 8.598E-02 3.685E-05  3.37E-03
3.981E-02 8.313E-02 3.916E-05  3.80E-03
3.758E-02 8.014E-02 4.165E-05  4.28E-03
3.548E-02 7.701E-02 4.427E-05  4.82E-03
3.350E-02 7.373E-02 4.690E-05  5.42E-03
3.162E-02 7.024E-02 4.945E-05  6.11E-03
2.985E-02 6.668E-02 5.192E-05  6.87E-03
2.818E-02 6.294E-02 5.411E-05  7.73E-03
2.661E-02 5.923E-02 5.603E-05  8.70E-03
2.512E-02 5.543E-02 5.739E-05  9.79E-03
2.371E-02 5.165E-02 5.778E-05  1.10E-02
2.239E-02 4.988E-02 5.985E-05  1.24E-02
2.113E-02 4.721E-02 6.180E-05  1.39E-02
1.995E-02 4.463E-02 6.190E-05  1.57E-02
